Treatment,pH,SOC,TN,BD,NH4_N,NO3_N,AP,AK,MWD,MBC,MBN,bacteria_richness,bacteria_shannon,bacteria_PCoA1,fungi_richness,fungi_shannon,fungi_PCoA1,protists_richness,protists_shannon,protists_PCoA1,M,I_NH4,I_NO3,O_Norg,O_NH4,AOA_abundance,AOB_abundance,Comammox_abundance,nirS_abundance,nirK_abundance,nosZ_abundance,AOA_richness,AOA_shannon,AOB_richness,AOB_shannon,Comammox_richness,Comammox_shannon,AKP,¦ÂG,NAG
CK-1,0.185380456,0.21587048,0.200295453,0.564767551,0.629281253,0.3018013,0.261589038,0.165589375,0.37017948,0.381472068,0.595426322,0.704824869,0.675742313,0.555904703,0.295100221,0.769437203,0.286292288,0.281803506,0.275743976,0.098408674,0.844115681,0.716296251,0.666380683,0.731125611,0.801498035,0.450863499,0.624467691,0.691212889,0.678134773,0.621489768,0.473926095,0.679682499,0.569116426,0.363477833,0.390065671,0.258712735,0.429779851,0.678019242,0.275645295,0.2124964
CK-2,0.154076967,0.184264454,0.204510105,0.50809185,0.242332821,0.312079111,0.271376911,0.17258855,0.568028625,0.682002717,0.710642608,0.767385079,0.746716816,0.576363216,0.154202963,0.50617739,0.328899239,0.70634241,0.758043901,0.53566129,0.835191182,0.591200448,0.702287851,0.792716708,0.904043348,0.34861746,0.625251698,0.365559013,0.633802099,0.631054667,0.392738624,0.25214448,0.272979371,0.49321263,0.594686478,0.324609773,0.564143415,0.252502884,0.411544851,0.440078587
CK-3,0.241163132,0.23544694,0.217430042,0.856052372,0.305964921,0.336432819,0.266454358,0.191878183,0.418345834,0.265379125,0.215134094,0.432806571,0.352678585,0.472926499,0.218280017,0.235597654,0.184614113,0.218123782,0.29659752,0.29752492,0.854260909,0.459591958,0.520794608,0.354875935,0.862763834,0.36202022,0.625778695,0.615574702,0.565148347,0.558385777,0.387638465,0.833036404,0.865976457,0.271164015,0.274748135,0.144309367,0.27024209,0.456930462,0.306021546,0.619551065
O1-1,0.262119643,0.371211656,0.368785304,0.35436197,0.267965658,0.278448728,0.329108801,0.278967757,0.198968508,0.333252053,0.577165008,0.370457161,0.471505533,0.826280684,0.625909479,0.497902279,0.447616013,0.721013876,0.704686281,0.696868335,0.672769194,0.511986443,0.655031318,0.686544283,0.740859357,0.415130634,0.614465375,0.990006004,0.627944943,0.519346601,0.679742901,0.62694534,0.543538767,0.045426902,0.112901002,0.226668884,0.231821658,0.830078434,0.517621618,0.284686635
O1-2,0.241163132,0.378231272,0.432003374,0.57998975,0.356151724,0.502424969,0.329108979,0.265156037,0.583214855,0.817976232,0.575048338,0.48627172,0.439634027,0.533911099,0.313139544,0.591105127,0.208614219,0.347433923,0.333406014,0.718473408,0.605380759,0.588250286,0.618730845,0.348392628,0.623519514,0.441605846,0.601074797,0.447656358,0.592822525,0.603929326,0.473524131,0.519661308,0.445477608,0.772070329,0.851912106,0.197536321,0.272114415,0.25979236,0.611363203,0.327039688
O1-3,0.262119643,0.412606875,0.346133708,0.481974435,0.258743283,0.359531243,0.329109157,0.295281145,0.173874575,0.378347932,0.414651943,0.881303557,0.82790276,0.480867785,0.660138192,0.502451003,0.329761046,0.250282326,0.277932157,0.392146656,0.799007138,0.55450994,0.029000692,0.67878727,0.745306712,0.436561907,0.620176638,0.552368877,0.557839903,0.564324104,0.331741547,0.493763034,0.420583774,0.381275787,0.525965743,0.293566932,0.321227152,0.44952436,0.222009734,0.46265168
O2-1,0.547277771,0.571215158,0.581113606,0.648625281,0.307964515,0.338226868,0.497217878,0.509225417,0.666192656,0.447897504,0.790149783,0.49260653,0.651854391,0.650999715,0.543309808,0.19438151,0.354339684,0.883567507,0.880012255,0.78668754,0.719788375,0.760862734,0.677694528,0.550298011,0.639634314,0.878244691,0.617362466,0.359294008,0.718684089,0.697541417,0.277622938,0.780826258,0.710388426,0.742344401,0.792583715,0.491381243,0.326553731,0.609559512,0.314764108,0.789387492
O2-2,0.331594341,0.638000428,0.691973864,0.364275852,0.845128472,0.881292088,0.608157188,0.381956445,0.717468986,0.852266454,0.807293428,0.460996781,0.480606122,0.770964636,0.317742111,0.381944201,0.399912141,0.175675798,0.104211107,0.670652743,0.51864436,0.293174731,0.534748353,0.196573337,0.579837504,0.919292253,0.616381235,0.397440866,0.153280239,0.135342612,0.82122746,0.58364951,0.578159719,0.56893465,0.669194776,0.786459725,0.806806004,0.779296328,0.702105688,0.708711609
O2-3,0.724921284,0.761223927,0.63991752,0.32913017,0.801428334,0.270941569,0.484703146,0.54151555,0.645148465,0.74065004,0.871799142,0.423496585,0.314464792,0.660212652,0.431942052,0.764772316,0.263312932,0.406367953,0.388989394,0.709342107,0.530484673,0.73801567,0.404778588,0.799623146,0.428101087,0.885696728,0.616339755,0.38859434,0.283132832,0.675257151,0.269972117,0.577340294,0.545533721,0.245638212,0.431508962,0.68569622,0.672869471,0.377835819,0.452009489,0.483540364
O3-1,0.436432697,0.72879326,0.704064248,0.715593885,0.352541888,0.423078153,0.714086091,0.524154518,0.670547226,0.352333056,0.581833828,0.317615486,0.417328527,0.826459062,0.678997488,0.131307903,0.33367428,0.721013876,0.646040374,0.612588514,0.111300559,0.180237179,0.54110942,0.548103895,0.592712291,0.365386327,0.603534259,0.541103361,0.724340957,0.700389856,0.273182973,0.416816927,0.369988831,0.841242692,0.937205395,0.818668791,0.811149211,0.673249868,0.509362076,0.588854582
O3-2,0.28421516,0.803231749,0.682673578,0.361790568,0.405390427,0.452266978,0.631749243,0.504244071,0.432351412,0.61412041,0.332407746,0.766251846,0.762078813,0.459865827,0.55912662,0.582943217,0.507498701,0.512962906,0.582241601,0.312499818,0.473742659,0.112948348,0.579915021,0.585041132,0.656412593,0.36396743,0.598677392,0.522059507,0.040907847,0.056254742,0.717760231,0.513191205,0.545996222,0.736843748,0.613206849,0.462360548,0.508193186,0.569889122,0.915938691,0.772421561
O3-3,0.519576275,0.814233612,0.859094045,0.710441262,0.318578313,0.608750019,0.775706578,0.682290972,0.669022717,0.53690159,0.219515129,0.453133212,0.54848421,0.443476466,0.615875655,0.726891733,0.384569964,0.605603598,0.600192633,0.4899405,0.400722729,0.688905512,0.643321186,0.334518292,0.384024543,0.366266262,0.60328045,0.635881256,0.433317882,0.195443847,0.800313867,0.262040463,0.301263698,0.763585027,0.543960603,0.440750504,0.440135201,0.677545788,0.612218452,0.629607285
O4-1,0.746558009,0.881543454,0.918169765,0.407491143,0.8697097,0.946190409,0.967521819,0.814839791,0.520839413,0.917219953,0.815934925,0.107677531,0.147374174,0.872204006,0.355797609,0.250472017,0.18057947,0.135741577,0.123734156,0.769584971,0.306879518,0.557213087,0.637979658,0.343216134,0.3355335,0.889985462,0.57732006,0.398211242,0.460958804,0.455096196,0.469585252,0.257061329,0.300446692,0.331123304,0.324590576,0.827146401,0.848713302,0.8906135,0.817409146,0.761702505
O4-2,0.547277771,0.679024682,0.672527907,0.800772158,0.436276097,0.677124839,0.654727297,0.447146031,0.813542213,0.842265108,0.629598847,0.112646897,0.160031996,0.870163953,0.406005112,0.16316448,0.602425027,0.240312848,0.258864331,0.682332878,0.246291519,0.53307541,0.628678272,0.189711071,0.364962634,0.758627537,0.510566648,0.463305551,0.181764632,0.131172308,0.514288128,0.367461164,0.386073398,0.760130445,0.683563253,0.74478449,0.781145928,0.688795732,0.793862238,0.896298554
O4-3,0.62800681,0.909533696,0.900789703,0.577090963,0.678879662,0.180645931,0.863156037,0.789570223,0.907031112,0.753662246,0.759496834,0.258019646,0.335824589,0.662253191,0.935080336,0.742143792,0.778254037,0.495013315,0.478581483,0.418049057,0.235855098,0.527345049,0.310325489,0.919302658,0.364399963,0.676638411,0.576167004,0.534874945,0.590921362,0.560784451,0.775307307,0.34958811,0.323246574,0.619389453,0.73621542,0.585090706,0.608630092,0.828100329,0.88435638,0.813571229
F1-1,0.382649443,0.359745453,0.306203382,0.247000461,0.557856631,0.333539304,0.318147707,0.356436927,0.100088668,0.35153712,0.364432672,0.56667475,0.577084756,0.480969923,0.431942052,0.784438937,0.637904418,0.651661018,0.713487399,0.094156622,0.664377626,0.868829965,0.599765062,0.695330955,0.503653241,0.347656754,0.615277491,0.398716277,0.711625982,0.697072762,0.289244676,0.293190706,0.289086334,0.359084015,0.613765065,0.357275047,0.372902087,0.130656482,0.22271678,0.188273581
F1-2,0.49175389,0.341327277,0.297471972,0.175907018,0.668851546,0.332131952,0.329108624,0.358725954,0.62242626,0.604373571,0.397186328,0.417319546,0.518329543,0.324363301,0.390681435,0.417270489,0.668160175,0.441425351,0.46090151,0.631360585,0.598086061,0.231854994,0.599864192,0.307428901,0.605759607,0.352148081,0.615830227,0.365216961,0.403075316,0.559195231,0.429596921,0.738330487,0.703775411,0.464709396,0.43654394,0.513195713,0.412114546,0.227663652,0.336515833,0.366006181
F1-3,0.3073973,0.386969523,0.39608955,0.138794524,0.877165123,0.336647198,0.307384585,0.384311492,0.096931322,0.399788737,0.688208975,0.298703374,0.220848141,0.212916744,0.089469228,0.449469064,0.26988403,0.526405718,0.516135078,0.415796171,0.277597189,0.359575841,0.071916721,0.286541001,0.514936685,0.362762772,0.615255925,0.366046169,0.235546345,0.204446732,0.958521575,0.753066684,0.829248158,0.679947918,0.472341224,0.216632531,0.203932579,0.233951693,0.422396101,0.494665088
F2-1,0.601649525,0.386754948,0.416203947,0.485135694,0.262503191,0.442847812,0.441154175,0.595238987,0.489028366,0.377688168,0.704808517,0.522694567,0.600996626,0.379749927,0.431942052,0.219176739,0.41629727,0.575224721,0.527164027,0.501303677,0.314451535,0.439144318,0.596679341,0.802181724,0.371986749,0.389808562,0.58572125,0.366138679,0.374378394,0.363853789,0.525309351,0.480817759,0.297926508,0.46944899,0.239123507,0.258712735,0.193653242,0.391920578,0.251587677,0.331304259
F2-2,0.3073973,0.330959283,0.422478568,0.469264129,0.337797867,0.560048377,0.340258724,0.358725954,0.469858667,0.42023231,0.224082091,0.533749788,0.675098464,0.244501115,0.463553648,0.231926578,0.825161948,0.397736349,0.407371793,0.578024102,0.333966608,0.114303661,0.57163437,0.638709285,0.566598021,0.45632937,0.599765798,0.519015363,0.344506922,0.461842012,0.380146231,0.738330487,0.749034376,0.263703604,0.261913042,0.570900127,0.560872269,0.343058629,0.402751164,0.402906871
F2-3,0.767039777,0.44825891,0.427987636,0.306289551,0.574885764,0.56762492,0.392505908,0.580756264,0.428418223,0.251033055,0.176452846,0.577534639,0.670403621,0.260668693,0.744385269,0.657781068,0.871185525,0.647574767,0.590211339,0.180309109,0.644269708,0.444601896,0.366092345,0.458910035,0.481386089,0.428278801,0.607287978,0.400409132,0.639342838,0.67021481,0.308724072,0.733294138,0.701116111,0.566598242,0.540920523,0.384415976,0.261597984,0.5709142,0.459103009,0.217047735
F3-1,0.865258061,0.291515825,0.3462557,0.461800625,0.522871569,0.432878992,0.398492122,0.434864369,0.616571509,0.342781498,0.478561224,0.577534639,0.500385032,0.493884884,0.585208257,0.547097203,0.555815413,0.663784765,0.655761802,0.778349002,0.62651748,0.744561063,0.644803849,0.548654658,0.338516148,0.345036293,0.440351392,0.476102573,0.681564995,0.639910316,0.632188359,0.277346176,0.293753385,0.36568337,0.273160326,0.77143689,0.757108589,0.370454134,0.221538583,0.748115322
F3-2,0.746558009,0.439226279,0.47986059,0.605506851,0.288204149,0.734952942,0.459746719,0.697215311,0.461723055,0.302856774,0.311385101,0.779596976,0.709091289,0.231603151,0.452971022,0.366228299,0.647769451,0.852879479,0.83574125,0.70675851,0.341276288,0.728622724,0.558152075,0.300558211,0.17566416,0.34671752,0.452674913,0.379743459,0.592378425,0.638239804,0.512193253,0.748217241,0.728895075,0.399398396,0.29507701,0.606107782,0.503757107,0.62618313,0.34102624,0.375704348
F3-3,0.601649525,0.409676086,0.405783132,0.240637093,0.326688098,0.57054304,0.453534137,0.611926696,0.459121375,0.288340549,0.330951118,0.267844711,0.083322781,0.246735014,0.615875655,0.660425829,0.551189956,0.579605264,0.677518452,0.624717047,0.376824093,0.583256258,0.640371975,0.245639654,0.195073207,0.347968915,0.415497793,0.403057973,0.545755019,0.538648821,0.622358601,0.174571983,0.397771256,0.661021051,0.428797268,0.337493414,0.17827894,0.345058987,0.658597893,0.292673823
F4-1,0.746558009,0.418193262,0.410565211,0.941912955,0.289880412,0.477824581,0.590118614,0.852055411,0.587480407,0.397778755,0.315276431,0.582166662,0.485015084,0.279946683,0.674334147,0.738781472,0.84201179,0.790261475,0.730893926,0.496349077,0.41614914,0.660565972,0.592029299,0.355808008,0.209748776,0.343951807,0.047407348,0.358575396,0.72420412,0.68666039,0.28012859,0.571005743,0.4676622,0.554873755,0.43945443,0.74478449,0.655802819,0.227599191,0.373693189,0.267680412
F4-2,0.804448959,0.489227313,0.512165005,0.486911793,0.782736631,0.850473423,0.637554904,0.908783053,0.382596971,0.273912248,0.271707885,0.868841454,0.85162977,0.290541135,0.727827697,0.777915295,0.750814158,0.384908842,0.424148537,0.332764233,0.525569658,0.50163412,0.268466069,0.389873331,0.202213556,0.344349396,0.061209522,0.366043137,0.7239335,0.706083179,0.272982173,0.069790331,0.066209509,0.312427746,0.307438369,0.710217263,0.805485192,0.550408713,0.499851687,0.229369434
F4-3,0.746558009,0.336244166,0.36022689,0.493476154,0.692218799,0.634207822,0.422725202,0.669191978,0.587419255,0.253093731,0.263080026,0.467301835,0.430822581,0.221420297,0.771727168,0.733296427,0.76158515,0.267499994,0.310984945,0.222324327,0.194021621,0.193438859,0.431458683,0.249411833,0.212473425,0.344401693,0.089149736,0.558588104,0.682641944,0.691063086,0.27487757,0.564647844,0.815511919,0.639372662,0.54804545,0.739215558,0.645715965,0.386735863,0.708320587,0.676523653
